,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
466,xavier,0.7853300000000001,64,1000,65.0
487,xavier,0.85272,16,2000,65.0
488,xavier,0.85272,32,100,65.0
490,xavier,0.85272,32,1000,65.0
518,xavier,0.013420000000000001,32,1000,65.0
523,xavier,0.013420000000000001,64,2000,65.0
528,xavier,0.013420000000000001,256,100,65.0
533,xavier,0.15482,4,500,65.0
536,xavier,0.15482,8,100,65.0
537,xavier,0.15482,8,500,65.0
539,xavier,0.15482,8,2000,65.0
548,xavier,0.15482,64,100,65.0
567,gauss,0.9147400000000001,8,2000,65.0
574,gauss,0.9147400000000001,32,1000,65.0
584,gauss,0.9147400000000001,256,100,65.0
595,gauss,0.9149,8,2000,65.0
602,gauss,0.9149,32,1000,65.0
612,gauss,0.9149,256,100,65.0
616,gauss,0.45595,4,100,65.0
617,gauss,0.45595,4,500,65.0
623,gauss,0.45595,8,2000,65.0
644,gauss,0.21651,4,100,65.0
646,gauss,0.21651,4,1000,65.0
650,gauss,0.21651,8,1000,65.0
654,gauss,0.21651,16,1000,65.0
655,gauss,0.21651,16,2000,65.0
673,gauss,0.41642,4,500,65.0
678,gauss,0.41642,8,1000,65.0
701,gauss,0.6437900000000001,4,500,65.0
711,gauss,0.6437900000000001,16,2000,65.0
724,gauss,0.6437900000000001,256,100,65.0
740,gauss,0.7853300000000001,32,100,65.0
742,gauss,0.7853300000000001,32,1000,65.0
745,gauss,0.7853300000000001,64,500,65.0
746,gauss,0.7853300000000001,64,1000,65.0
752,gauss,0.7853300000000001,256,100,65.0
767,gauss,0.85272,16,2000,65.0
768,gauss,0.85272,32,100,65.0
770,gauss,0.85272,32,1000,65.0
774,gauss,0.85272,64,1000,65.0
780,gauss,0.85272,256,100,65.0
787,gauss,0.013420000000000001,4,2000,65.0
799,gauss,0.013420000000000001,32,2000,65.0
812,gauss,0.15482,4,100,65.0
813,gauss,0.15482,4,500,65.0
816,gauss,0.15482,8,100,65.0
817,gauss,0.15482,8,500,65.0
827,gauss,0.15482,32,2000,65.0
1,zero,0.9147400000000001,4,500,64.0
11,zero,0.9147400000000001,16,2000,64.0
18,zero,0.9147400000000001,64,1000,64.0
24,zero,0.9147400000000001,256,100,64.0
25,zero,0.9147400000000001,256,500,64.0
29,zero,0.9149,4,500,64.0
39,zero,0.9149,16,2000,64.0
46,zero,0.9149,64,1000,64.0
52,zero,0.9149,256,100,64.0
